10245 4601 01/10/2023;A108; 2 30/10/2023
13934 5345 02/10/2023;B102; 1 20/10/2023
16073 4532 27/09/2023;A103; 1 15/10/2023
13023 5342 30/09/2023;A102; 1 10/10/2023
10379 6243 29/09/2023;A101; 1 17/10/2023
12034 3423 02/10/2023;D119; 1 14/10/2023
14023 2123 01/10/2023;B104; 2 12/10/2023
15032 4213 28/09/2023;C102; 1 29/10/2023
12302 5234 25/09/2023;D110; 3 11/10/2023
18303 2341 30/09/2023;C113; 1 09/10/2023
13429 2342 03/10/2023;B106; 1 18/10/2023
17293 3534 29/09/2023;D102; 1 15/10/2023
11234 4720 26/09/2023;B109; 1 08/10/2023
15093 6234 01/10/2023;A105; 1 14/10/2023
13422 2310 26/09/2023;D101; 1 10/10/2023
12999 7345 24/09/2023;D120; 2 24/10/2023
19283 9234 01/09/2023;D108; 1 29/09/2023
16342 9123 09/09/2023;C110; 2 19/10/2023
14390 1245 02/09/2023;C112; 1 30/10/2023
18323 3423 11/09/2023;D105; 2 29/09/2023
17429 5241 15/09/2023;A109; 1 15/10/2023
12432 3423 21/12/2023;B107; 2 30/12/2023
12345 5241 30/10/2023;A106; 1 11/11/2023
